selection_id,level_id,level_name,level_type,icon_type,candidate_rank,candidate_name,candidate_path,preview_path,reason,relevance,risk
streets_normal.obstacle.c2,streets_normal,Bagarre en Ruelle,normal,obstacle,2,1F3C3 person running,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3C3.svg,preview-assets/1F3C3.svg,passant qui court charge,fort,faible
streets_normal.obstacle.c3,streets_normal,Bagarre en Ruelle,normal,obstacle,3,1F9D1 person,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9D1.svg,preview-assets/1F9D1.svg,personne neutre foule,moyen,trop generique
streets_normal.obstacle.c4,streets_normal,Bagarre en Ruelle,normal,obstacle,4,1F9DF zombie,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9DF.svg,preview-assets/1F9DF.svg,zombie foule dangereuse,moyen,univers horror
streets_normal.obstacle.c5,streets_normal,Bagarre en Ruelle,normal,obstacle,5,1F46A family,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F46A.svg,preview-assets/1F46A.svg,famille groupe obstruction,faible,trop friendly
streets_boss.boss_entity.c1,streets_boss,Seigneur du Crime,boss,boss_entity,1,1F574 person in suit levitating,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F574.svg,preview-assets/1F574.svg,personnage costume boss criminel,fort,icone obscure
streets_boss.boss_entity.c2,streets_boss,Seigneur du Crime,boss,boss_entity,2,1F454 necktie,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F454.svg,preview-assets/1F454.svg,cravate boss syndical,moyen,pas humain
streets_boss.boss_entity.c3,streets_boss,Seigneur du Crime,boss,boss_entity,3,1F576 sunglasses,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F576.svg,preview-assets/1F576.svg,lunettes noires gangster,moyen,faible
streets_boss.boss_entity.c4,streets_boss,Seigneur du Crime,boss,boss_entity,4,1F0CF joker,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F0CF.svg,preview-assets/1F0CF.svg,joker carte crime,moyen,couleur noire dominante
streets_boss.boss_entity.c5,streets_boss,Seigneur du Crime,boss,boss_entity,5,1F5E1 dagger,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F5E1.svg,preview-assets/1F5E1.svg,poignard menace criminelle,moyen,faible
fighter_normal.pickup.c1,fighter_normal,Dojo des Guerriers,normal,pickup,1,26A1 high voltage,/home/kali/apps/snake/design_boards/openemoji/color/svg/26A1.svg,preview-assets/26A1.svg,eclair energie de charge,fort,faible
fighter_normal.pickup.c2,fighter_normal,Dojo des Guerriers,normal,pickup,2,1F525 fire,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F525.svg,preview-assets/1F525.svg,feu puissance energie,fort,doublon kombat
fighter_normal.pickup.c3,fighter_normal,Dojo des Guerriers,normal,pickup,3,1F31F glowing star,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F31F.svg,preview-assets/1F31F.svg,etoile energie brillant,moyen,doublon castle
fighter_normal.pickup.c4,fighter_normal,Dojo des Guerriers,normal,pickup,4,E2CD solar energy,/home/kali/apps/snake/design_boards/openemoji/color/svg/E2CD.svg,preview-assets/E2CD.svg,energie solaire charge,moyen,OpenMoji custom non-standard
fighter_normal.pickup.c5,fighter_normal,Dojo des Guerriers,normal,pickup,5,1FAAB low battery,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FAAB.svg,preview-assets/1FAAB.svg,batterie vide contraire energy,faible,semantique inverse
fighter_normal.obstacle.c1,fighter_normal,Dojo des Guerriers,normal,obstacle,1,270A raised fist,/home/kali/apps/snake/design_boards/openemoji/color/svg/270A.svg,preview-assets/270A.svg,poing zone de combat,fort,skin tone neutral
fighter_normal.obstacle.c2,fighter_normal,Dojo des Guerriers,normal,obstacle,2,1F44A oncoming fist,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F44A.svg,preview-assets/1F44A.svg,poing qui frappe spar,fort,faible
fighter_normal.obstacle.c3,fighter_normal,Dojo des Guerriers,normal,obstacle,3,1F94B martial arts uniform,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F94B.svg,preview-assets/1F94B.svg,kimono dojo combat,fort,faible
fighter_normal.obstacle.c4,fighter_normal,Dojo des Guerriers,normal,obstacle,4,1F9B5 leg,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F9B5.svg,preview-assets/1F9B5.svg,jambe coup de pied,moyen,ambigu
fighter_normal.obstacle.c5,fighter_normal,Dojo des Guerriers,normal,obstacle,5,1F93A person fencing,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F93A.svg,preview-assets/1F93A.svg,escrimeur combat,moyen,doublon boss
fighter_boss.boss_entity.c1,fighter_boss,Ultime Challenger,boss,boss_entity,1,1F93A person fencing,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F93A.svg,preview-assets/1F93A.svg,escrimeur challenger duel final,fort,faible
fighter_boss.boss_entity.c2,fighter_boss,Ultime Challenger,boss,boss_entity,2,2694 crossed swords,/home/kali/apps/snake/design_boards/openemoji/color/svg/2694.svg,preview-assets/2694.svg,epees croisees combat,fort,faible
fighter_boss.boss_entity.c3,fighter_boss,Ultime Challenger,boss,boss_entity,3,1FA96 military helmet,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA96.svg,preview-assets/1FA96.svg,casque militaire challenger,fort,faible
fighter_boss.boss_entity.c4,fighter_boss,Ultime Challenger,boss,boss_entity,4,1F3C6 trophy,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3C6.svg,preview-assets/1F3C6.svg,trophee champion ultime,fort,faible
fighter_boss.boss_entity.c5,fighter_boss,Ultime Challenger,boss,boss_entity,5,1F94B martial arts uniform,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F94B.svg,preview-assets/1F94B.svg,kimono ultime challenger,moyen,faible
outrun_normal.pickup.c1,outrun_normal,Autoroute du Soleil,normal,pickup,1,1F3C1 chequered flag,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3C1.svg,preview-assets/1F3C1.svg,drapeau damiers checkpoint racing,fort,faible
outrun_normal.pickup.c2,outrun_normal,Autoroute du Soleil,normal,pickup,2,1F6A9 triangular flag,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6A9.svg,preview-assets/1F6A9.svg,drapeau triangulaire balise,fort,faible
outrun_normal.pickup.c3,outrun_normal,Autoroute du Soleil,normal,pickup,3,26F3 flag in hole,/home/kali/apps/snake/design_boards/openemoji/color/svg/26F3.svg,preview-assets/26F3.svg,drapeau trou golf,moyen,contexte golf
outrun_normal.pickup.c4,outrun_normal,Autoroute du Soleil,normal,pickup,4,1F4CD round pushpin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4CD.svg,preview-assets/1F4CD.svg,pin repere position,moyen,faible
outrun_normal.pickup.c5,outrun_normal,Autoroute du Soleil,normal,pickup,5,1F3CE racing car,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3CE.svg,preview-assets/1F3CE.svg,voiture course objectif,moyen,doublon boss
outrun_normal.obstacle.c1,outrun_normal,Autoroute du Soleil,normal,obstacle,1,1F698 oncoming automobile,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F698.svg,preview-assets/1F698.svg,voiture sens inverse trafic hostile,fort,faible
outrun_normal.obstacle.c2,outrun_normal,Autoroute du Soleil,normal,obstacle,2,1F699 sport utility vehicle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F699.svg,preview-assets/1F699.svg,SUV gros vehicule bloquant,fort,faible
outrun_normal.obstacle.c3,outrun_normal,Autoroute du Soleil,normal,obstacle,3,1F697 automobile,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F697.svg,preview-assets/1F697.svg,voiture standard trafic,fort,faible
outrun_normal.obstacle.c4,outrun_normal,Autoroute du Soleil,normal,obstacle,4,1F69B articulated lorry,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F69B.svg,preview-assets/1F69B.svg,camion semi obstacle majeur,moyen,trop grand
outrun_normal.obstacle.c5,outrun_normal,Autoroute du Soleil,normal,obstacle,5,1F6A7 construction,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6A7.svg,preview-assets/1F6A7.svg,chantier route bloquee,moyen,faible
outrun_boss.boss_entity.c1,outrun_boss,Rival Turbo,boss,boss_entity,1,1F3CE racing car,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3CE.svg,preview-assets/1F3CE.svg,voiture course rival turbo,fort,faible
outrun_boss.boss_entity.c2,outrun_boss,Rival Turbo,boss,boss_entity,2,1F4A8 dashing away,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4A8.svg,preview-assets/1F4A8.svg,nuage vitesse turbo speed,fort,faible
outrun_boss.boss_entity.c3,outrun_boss,Rival Turbo,boss,boss_entity,3,1F6A8 police car light,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6A8.svg,preview-assets/1F6A8.svg,gyrophare poursuivant rival,moyen,faible
outrun_boss.boss_entity.c4,outrun_boss,Rival Turbo,boss,boss_entity,4,1F699 sport utility vehicle,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F699.svg,preview-assets/1F699.svg,SUV rival imposant,moyen,faible
outrun_boss.boss_entity.c5,outrun_boss,Rival Turbo,boss,boss_entity,5,1F698 oncoming automobile,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F698.svg,preview-assets/1F698.svg,voiture rival en face,moyen,doublon obstacle
shinobi_normal.pickup.c1,shinobi_normal,Temple des Neiges,normal,pickup,1,2605 black star,/home/kali/apps/snake/design_boards/openemoji/color/svg/2605.svg,preview-assets/2605.svg,etoile noire shuriken 5 branches,fort,faible
shinobi_normal.pickup.c2,shinobi_normal,Temple des Neiges,normal,pickup,2,2B50 star,/home/kali/apps/snake/design_boards/openemoji/color/svg/2B50.svg,preview-assets/2B50.svg,etoile standard jaune,fort,faible
shinobi_normal.pickup.c3,shinobi_normal,Temple des Neiges,normal,pickup,3,1F4AB dizzy,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4AB.svg,preview-assets/1F4AB.svg,etoiles tournoiement shuriken,moyen,faible
shinobi_normal.pickup.c4,shinobi_normal,Temple des Neiges,normal,pickup,4,2747 sparkle,/home/kali/apps/snake/design_boards/openemoji/color/svg/2747.svg,preview-assets/2747.svg,etincelle etoile,moyen,petit a 72px
shinobi_normal.pickup.c5,shinobi_normal,Temple des Neiges,normal,pickup,5,1F31F glowing star,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F31F.svg,preview-assets/1F31F.svg,etoile brillante cible reelle,moyen,doublon castle
shinobi_normal.obstacle.c1,shinobi_normal,Temple des Neiges,normal,obstacle,1,1FAE5 dotted line face,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FAE5.svg,preview-assets/1FAE5.svg,visage pointille leurre fantome,moyen,peut etre peu lisible
shinobi_normal.obstacle.c2,shinobi_normal,Temple des Neiges,normal,obstacle,2,1F47B ghost,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F47B.svg,preview-assets/1F47B.svg,fantome leurre illusion,fort,faible
shinobi_normal.obstacle.c3,shinobi_normal,Temple des Neiges,normal,obstacle,3,1F441 eye,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F441.svg,preview-assets/1F441.svg,oeil fausse cible piege,moyen,faible
shinobi_normal.obstacle.c4,shinobi_normal,Temple des Neiges,normal,obstacle,4,1F3AF bullseye,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3AF.svg,preview-assets/1F3AF.svg,cible fausse flechette,moyen,ressemble pickup
shinobi_normal.obstacle.c5,shinobi_normal,Temple des Neiges,normal,obstacle,5,1F4CD round pushpin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4CD.svg,preview-assets/1F4CD.svg,marqueur fausse position,faible,trop generique
shinobi_boss.boss_entity.c1,shinobi_boss,Ninja de l Ombre,boss,boss_entity,1,1F977 ninja,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F977.svg,preview-assets/1F977.svg,ninja exact mechanic shadowNinja,fort,skin tone neutral
shinobi_boss.boss_entity.c2,shinobi_boss,Ninja de l Ombre,boss,boss_entity,2,1F47B ghost,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F47B.svg,preview-assets/1F47B.svg,ombre fantome shadow,fort,faible
shinobi_boss.boss_entity.c3,shinobi_boss,Ninja de l Ombre,boss,boss_entity,3,1F441 eye,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F441.svg,preview-assets/1F441.svg,oeil qui observe ombre ninja,moyen,faible
shinobi_boss.boss_entity.c4,shinobi_boss,Ninja de l Ombre,boss,boss_entity,4,1F576 sunglasses,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F576.svg,preview-assets/1F576.svg,lunettes noires ninja discret,moyen,faible
shinobi_boss.boss_entity.c5,shinobi_boss,Ninja de l Ombre,boss,boss_entity,5,1F5E3 speaking head,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F5E3.svg,preview-assets/1F5E3.svg,silhouette tete fantome,faible,ambigu
kombat_normal.pickup.c1,kombat_normal,Arena des Enfers,normal,pickup,1,1F3C5 sports medal,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3C5.svg,preview-assets/1F3C5.svg,medaille token victoire kombat,fort,faible
kombat_normal.pickup.c2,kombat_normal,Arena des Enfers,normal,pickup,2,1F396 military medal,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F396.svg,preview-assets/1F396.svg,medaille militaire combat,fort,faible
kombat_normal.pickup.c3,kombat_normal,Arena des Enfers,normal,pickup,3,1FA99 coin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1FA99.svg,preview-assets/1FA99.svg,piece token finish,moyen,faible
kombat_normal.pickup.c4,kombat_normal,Arena des Enfers,normal,pickup,4,1F480 skull,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F480.svg,preview-assets/1F480.svg,crane trophee kombat fatality,moyen,ambigu vs obstacle
kombat_normal.pickup.c5,kombat_normal,Arena des Enfers,normal,pickup,5,1F93A person fencing,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F93A.svg,preview-assets/1F93A.svg,combat finish token,faible,doublon fighter boss
kombat_normal.obstacle.c1,kombat_normal,Arena des Enfers,normal,obstacle,1,1F525 fire,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F525.svg,preview-assets/1F525.svg,feu lava zone fatale,fort,doublon fighter pickup
kombat_normal.obstacle.c2,kombat_normal,Arena des Enfers,normal,obstacle,2,1F4A5 collision,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4A5.svg,preview-assets/1F4A5.svg,explosion impact zone,fort,faible
kombat_normal.obstacle.c3,kombat_normal,Arena des Enfers,normal,obstacle,3,1F47A goblin,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F47A.svg,preview-assets/1F47A.svg,goblin demon arene,moyen,univers fantaisie
kombat_normal.obstacle.c4,kombat_normal,Arena des Enfers,normal,obstacle,4,2620 skull and crossbones,/home/kali/apps/snake/design_boards/openemoji/color/svg/2620.svg,preview-assets/2620.svg,danger mortel zone fatale,moyen,fort semantique mort
kombat_normal.obstacle.c5,kombat_normal,Arena des Enfers,normal,obstacle,5,26D4 no entry,/home/kali/apps/snake/design_boards/openemoji/color/svg/26D4.svg,preview-assets/26D4.svg,interdit zone bloquee,moyen,faible
kombat_boss.boss_entity.c1,kombat_boss,Porte du Dragon,boss,boss_entity,1,1F409 dragon,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F409.svg,preview-assets/1F409.svg,dragon complet porte du dragon,fort,faible
kombat_boss.boss_entity.c2,kombat_boss,Porte du Dragon,boss,boss_entity,2,1F432 dragon face,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F432.svg,preview-assets/1F432.svg,tete dragon boss,fort,faible
kombat_boss.boss_entity.c3,kombat_boss,Porte du Dragon,boss,boss_entity,3,1F004 mahjong red dragon,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F004.svg,preview-assets/1F004.svg,dragon mahjong rouge,moyen,contexte mahjong
kombat_boss.boss_entity.c4,kombat_boss,Porte du Dragon,boss,boss_entity,4,1F525 fire,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F525.svg,preview-assets/1F525.svg,feu dragon souffle,moyen,generique
kombat_boss.boss_entity.c5,kombat_boss,Porte du Dragon,boss,boss_entity,5,2694 crossed swords,/home/kali/apps/snake/design_boards/openemoji/color/svg/2694.svg,preview-assets/2694.svg,combat porte gardee,faible,trop generique
paperboy_normal.pickup.c1,paperboy_normal,Tournee du Matin,normal,pickup,1,1F4F0 newspaper,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4F0.svg,preview-assets/1F4F0.svg,journal pickup Paperboy iconique,fort,faible
paperboy_normal.pickup.c2,paperboy_normal,Tournee du Matin,normal,pickup,2,1F5DE rolled-up newspaper,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F5DE.svg,preview-assets/1F5DE.svg,journal roule lancer,fort,faible
paperboy_normal.pickup.c3,paperboy_normal,Tournee du Matin,normal,pickup,3,1F4C3 page with curl,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4C3.svg,preview-assets/1F4C3.svg,page livraison document,moyen,faible
paperboy_normal.pickup.c4,paperboy_normal,Tournee du Matin,normal,pickup,4,1F4DC scroll,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4DC.svg,preview-assets/1F4DC.svg,parchemin livraison,faible,anachronique
paperboy_normal.pickup.c5,paperboy_normal,Tournee du Matin,normal,pickup,5,1F3EE red paper lantern,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3EE.svg,preview-assets/1F3EE.svg,lanterne papier clin oeil,faible,univers japonais
paperboy_normal.target.c1,paperboy_normal,Tournee du Matin,normal,target,1,1F4EB closed mailbox with raised flag,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4EB.svg,preview-assets/1F4EB.svg,boite aux lettres cible livraison,fort,faible
paperboy_normal.target.c2,paperboy_normal,Tournee du Matin,normal,target,2,1F4EC open mailbox with raised flag,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4EC.svg,preview-assets/1F4EC.svg,boite ouverte livraison effectuee,fort,faible
paperboy_normal.target.c3,paperboy_normal,Tournee du Matin,normal,target,3,1F4EA closed mailbox with lowered flag,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4EA.svg,preview-assets/1F4EA.svg,boite vide pas de livraison,moyen,semantique negatif
paperboy_normal.target.c4,paperboy_normal,Tournee du Matin,normal,target,4,1F3E0 house,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F3E0.svg,preview-assets/1F3E0.svg,maison destination livraison,moyen,faible
paperboy_normal.target.c5,paperboy_normal,Tournee du Matin,normal,target,5,1F4E6 package,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F4E6.svg,preview-assets/1F4E6.svg,colis livraison alternative,moyen,faible
paperboy_boss.boss_entity.c1,paperboy_boss,Chaos du Quartier,boss,boss_entity,1,1F477 construction worker,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F477.svg,preview-assets/1F477.svg,ouvrier chaos quartier,fort,faible
paperboy_boss.boss_entity.c2,paperboy_boss,Chaos du Quartier,boss,boss_entity,2,1F6A7 construction,/home/kali/apps/snake/design_boards/openemoji/color/svg/1F6A7.svg,preview-assets/1F6A7.svg,chantier barrage chaos,fort,faible
