path,size_mb,width,height,category,priority,recommendation,risk
public/assets/ui/kombat/kombat_boss_system_bg.png,2.117,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/castle/board_preview.png,2.106,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/shinobi/shinobi_clear_bg.png,2.087,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/castle/castle_system_bg.png,2.062,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/shinobi/board_preview.png,2.039,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/kombat/kombat_clear_bg.png,2.035,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/fighter/board_preview.png,2.033,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/fighter/fighter_system_bg.png,2.016,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/paperboy/paperboy_system_bg.png,2.008,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/fighter/fighter_clear_bg.png,2.001,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/paperboy/paperboy_gameplay_bg.png,1.986,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/outrun/outrun_system_bg.png,1.944,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/streets/board_preview.png,1.937,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/sonic/sonic_system_bg.png,1.925,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/sonic/sonic_clear_bg.png,1.917,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/streets/streets_gameplay_bg.png,1.911,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/paperboy/paperboy_clear_bg.png,1.869,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/castle/castle_game_over_bg.png,1.866,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/universes/sonic/board_preview.png,1.844,1024,1536,board_preview,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/title/title_hub_bg.png,1.842,941,1672,title_ui,P1,oxipng --opt 2 + review dimensions,Low-Medium
public/assets/ui/streets/streets_game_over_bg.png,1.838,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/paperboy/frame.png,1.810,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/kombat/kombat_game_over_bg.png,1.765,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/sonic/sonic_gameplay_bg.png,1.739,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/castle/frame.png,1.736,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/fighter/frame.png,1.735,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/outrun/outrun_game_over_bg.png,1.717,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/kombat/kombat_system_bg.png,1.704,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/sonic/frame.png,1.677,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/kombat/frame.png,1.670,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/fighter/fighter_gameplay_bg.png,1.656,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/fighter/fighter_game_over_bg.png,1.628,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/outrun/outrun_gameplay_bg.png,1.621,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/outrun/frame.png,1.620,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/shinobi/frame.png,1.620,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/frames/streets/frame.png,1.592,941,1672,frame_fullscreen,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/castle/castle_gameplay_bg.png,1.561,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/shinobi/shinobi_gameplay_bg.png,1.560,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/shinobi/shinobi_game_over_bg.png,1.538,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/kombat/kombat_gameplay_bg.png,1.513,941,1672,background_ui,P1,WebP lossy 85% or PNG oxipng --opt 4,Low
public/assets/ui/sonic/sonic_game_over_bg.png,1.463,941,1672,background_ui,P2,oxipng lossless,Low
public/assets/ui/paperboy/paperboy_game_over_bg.png,1.446,941,1672,background_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/paperboy/boss_neighborhood_chaos.png,0.122,256,233,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/sonic/boss_loop_serpent.png,0.122,256,249,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/kombat/boss_dragon_gate.png,0.121,243,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/streets/obstacle_crowd.png,0.120,256,254,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/sonic/obstacle_bumper.png,0.112,253,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/streets/pickup_street_bonus.png,0.099,250,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/kombat/obstacle_fatal_zone.png,0.094,235,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/fighter/pickup_energy.png,0.088,250,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/shinobi/obstacle_decoy.png,0.086,251,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/streets/boss_crime_lord.png,0.086,187,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/kombat/pickup_finish_token.png,0.085,239,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/fighter/obstacle_charge_marker.png,0.077,236,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/ui/title/world_token_paperboy.png,0.076,256,256,title_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/paperboy/pickup_newspaper.png,0.074,256,191,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/ui/title/world_token_castle.png,0.074,256,256,title_ui,P2,oxipng lossless,Low
public/assets/ui/title/world_token_shinobi.png,0.073,256,256,title_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/shinobi/boss_shadow_ninja.png,0.073,256,250,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/ui/title/world_token_outrun.png,0.073,256,256,title_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/outrun/boss_turbo_rival.png,0.073,256,165,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/ui/title/world_token_speed.png,0.072,256,256,title_ui,P2,oxipng lossless,Low
public/assets/ui/title/world_token_kombat.png,0.069,256,256,title_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/fighter/boss_final_challenger.png,0.068,217,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/ui/title/world_token_streets.png,0.068,256,256,title_ui,P2,oxipng lossless,Low
public/assets/ui/title/world_token_fighter.png,0.067,256,256,title_ui,P2,oxipng lossless,Low
public/assets/runtime/universes/paperboy/obstacle_dog.png,0.066,256,170,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/outrun/pickup_checkpoint.png,0.064,160,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/outrun/obstacle_car.png,0.054,256,160,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/sonic/pickup_ring.png,0.053,256,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/runtime/universes/shinobi/pickup_shuriken.png,0.051,256,256,sprite_runtime,P2,oxipng lossless — preserve alpha,Low
public/assets/universes/castle/boss.png,0.018,96,96,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/obstacle_01.png,0.008,64,64,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/obstacle_02.png,0.007,64,64,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/pickup_01.png,0.006,64,64,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/pickup_02.png,0.006,64,64,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/hud_panel.png,0.000,360,56,sprite_tiny,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/boss.png,0.000,48,48,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/pickup_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/obstacle_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/sonic/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/fighter/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/streets/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/obstacle_02.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/pickup_01.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/castle/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/kombat/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/outrun/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/paperboy/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
public/assets/universes/shinobi/frame_tile.png,0.000,32,32,universe_misc,No-touch,Negligible size — skip,N/A
