bytes,ext,height,kb,mode,path,transparent_percent,width
170,.png,32,0.2,RGBA,dist/assets/universes/streets/obstacle_02.png,73.24,32
233,.png,32,0.2,RGBA,dist/assets/universes/streets/pickup_01.png,56.93,32
217,.png,32,0.2,RGBA,dist/assets/universes/streets/pickup_02.png,56.93,32
92934,.png,256,90.8,RGBA,dist/assets/runtime/universes/castle/boss_witch_mirror.png,35.71,179
121578,.png,256,118.7,RGBA,dist/assets/runtime/universes/castle/obstacle_blink_wall.png,12.33,238
81324,.png,256,79.4,RGBA,dist/assets/runtime/universes/castle/pickup_orb.png,42.38,194
71211,.png,256,69.5,RGBA,dist/assets/runtime/universes/fighter/boss_final_challenger.png,54.21,217
81227,.png,256,79.3,RGBA,dist/assets/runtime/universes/fighter/obstacle_charge_marker.png,37.58,236
92055,.png,256,89.9,RGBA,dist/assets/runtime/universes/fighter/pickup_energy.png,38.75,250
127002,.png,256,124.0,RGBA,dist/assets/runtime/universes/kombat/boss_dragon_gate.png,25.14,243
98109,.png,256,95.8,RGBA,dist/assets/runtime/universes/kombat/obstacle_fatal_zone.png,31.19,235
89420,.png,256,87.3,RGBA,dist/assets/runtime/universes/kombat/pickup_finish_token.png,34.98,239
76024,.png,165,74.2,RGBA,dist/assets/runtime/universes/outrun/boss_turbo_rival.png,37.7,256
56363,.png,160,55.0,RGBA,dist/assets/runtime/universes/outrun/obstacle_car.png,15.09,256
66863,.png,256,65.3,RGBA,dist/assets/runtime/universes/outrun/pickup_checkpoint.png,33.3,160
127862,.png,233,124.9,RGBA,dist/assets/runtime/universes/paperboy/boss_neighborhood_chaos.png,27.52,256
69478,.png,170,67.8,RGBA,dist/assets/runtime/universes/paperboy/obstacle_dog.png,35.26,256
78105,.png,191,76.3,RGBA,dist/assets/runtime/universes/paperboy/pickup_newspaper.png,48.06,256
76855,.png,250,75.1,RGBA,dist/assets/runtime/universes/shinobi/boss_shadow_ninja.png,40.03,256
90584,.png,256,88.5,RGBA,dist/assets/runtime/universes/shinobi/obstacle_decoy.png,38.38,251
53500,.png,256,52.2,RGBA,dist/assets/runtime/universes/shinobi/pickup_shuriken.png,71.09,256
127781,.png,249,124.8,RGBA,dist/assets/runtime/universes/sonic/boss_loop_serpent.png,27.85,256
117788,.png,256,115.0,RGBA,dist/assets/runtime/universes/sonic/obstacle_bumper.png,21.39,253
55450,.png,256,54.2,RGBA,dist/assets/runtime/universes/sonic/pickup_ring.png,52.34,256
90515,.png,256,88.4,RGBA,dist/assets/runtime/universes/streets/boss_crime_lord.png,29.95,187
126176,.png,254,123.2,RGBA,dist/assets/runtime/universes/streets/obstacle_crowd.png,32.66,256
104063,.png,256,101.6,RGBA,dist/assets/runtime/universes/streets/pickup_street_bonus.png,22.27,250
689499,.png,779,673.3,RGBA,dist/assets/frames/castle/frame.png,0.0,532
777293,.png,839,759.1,RGBA,dist/assets/frames/fighter/frame.png,0.0,517
823672,.png,859,804.4,RGBA,dist/assets/frames/kombat/frame.png,0.0,523
814764,.png,847,795.7,RGBA,dist/assets/frames/outrun/frame.png,0.0,517
922568,.png,943,900.9,RGBA,dist/assets/frames/paperboy/frame.png,0.0,535
715912,.png,805,699.1,RGBA,dist/assets/frames/shinobi/frame.png,0.0,511
725264,.png,873,708.3,RGBA,dist/assets/frames/sonic/frame.png,0.0,529
711720,.png,819,695.0,RGBA,dist/assets/frames/streets/frame.png,0.0,531
78940,.png,116,77.1,RGB,dist/assets/developer-assets/castle/badges.png,0,500
191866,.png,160,187.4,RGB,dist/assets/developer-assets/castle/borders.png,0,896
124903,.png,220,122.0,RGB,dist/assets/developer-assets/castle/boss.png,0,406
219779,.png,418,214.6,RGB,dist/assets/developer-assets/castle/gameplayPreview.png,0,452
84537,.png,172,82.6,RGB,dist/assets/developer-assets/castle/hud.png,0,350
118183,.png,170,115.4,RGB,dist/assets/developer-assets/castle/obstacles.png,0,420
57868,.png,104,56.5,RGB,dist/assets/developer-assets/castle/palette.png,0,344
89797,.png,156,87.7,RGB,dist/assets/developer-assets/castle/pickups.png,0,406
63489,.png,170,62.0,RGB,dist/assets/developer-assets/castle/props.png,0,420
92791,.png,120,90.6,RGB,dist/assets/developer-assets/fighter/badges.png,0,520
185365,.png,150,181.0,RGB,dist/assets/developer-assets/fighter/borders.png,0,898
126433,.png,230,123.5,RGB,dist/assets/developer-assets/fighter/boss.png,0,406
227331,.png,420,222.0,RGB,dist/assets/developer-assets/fighter/gameplayPreview.png,0,452
77490,.png,176,75.7,RGB,dist/assets/developer-assets/fighter/hud.png,0,360
129889,.png,180,126.8,RGB,dist/assets/developer-assets/fighter/obstacles.png,0,420
55881,.png,112,54.6,RGB,dist/assets/developer-assets/fighter/palette.png,0,358
85237,.png,166,83.2,RGB,dist/assets/developer-assets/fighter/pickups.png,0,406
77132,.png,176,75.3,RGB,dist/assets/developer-assets/fighter/props.png,0,420
103855,.png,122,101.4,RGB,dist/assets/developer-assets/kombat/badges.png,0,520
205815,.png,152,201.0,RGB,dist/assets/developer-assets/kombat/borders.png,0,898
139547,.png,230,136.3,RGB,dist/assets/developer-assets/kombat/boss.png,0,406
241742,.png,418,236.1,RGB,dist/assets/developer-assets/kombat/gameplayPreview.png,0,452
74000,.png,174,72.3,RGB,dist/assets/developer-assets/kombat/hud.png,0,358
141855,.png,182,138.5,RGB,dist/assets/developer-assets/kombat/obstacles.png,0,422
68847,.png,112,67.2,RGB,dist/assets/developer-assets/kombat/palette.png,0,358
94949,.png,166,92.7,RGB,dist/assets/developer-assets/kombat/pickups.png,0,406
75572,.png,174,73.8,RGB,dist/assets/developer-assets/kombat/props.png,0,422
120589,.png,132,117.8,RGB,dist/assets/developer-assets/outrun/badges.png,0,534
205122,.png,150,200.3,RGB,dist/assets/developer-assets/outrun/borders.png,0,902
116054,.png,220,113.3,RGB,dist/assets/developer-assets/outrun/boss.png,0,410
233059,.png,424,227.6,RGB,dist/assets/developer-assets/outrun/gameplayPreview.png,0,454
54788,.png,166,53.5,RGB,dist/assets/developer-assets/outrun/hud.png,0,358
132046,.png,172,129.0,RGB,dist/assets/developer-assets/outrun/obstacles.png,0,424
59366,.png,120,58.0,RGB,dist/assets/developer-assets/outrun/palette.png,0,368
83124,.png,164,81.2,RGB,dist/assets/developer-assets/outrun/pickups.png,0,410
84307,.png,166,82.3,RGB,dist/assets/developer-assets/outrun/props.png,0,424
136144,.png,126,133.0,RGB,dist/assets/developer-assets/paperboy/badges.png,0,540
226011,.png,148,220.7,RGB,dist/assets/developer-assets/paperboy/borders.png,0,902
130471,.png,232,127.4,RGB,dist/assets/developer-assets/paperboy/boss.png,0,410
230591,.png,424,225.2,RGB,dist/assets/developer-assets/paperboy/gameplayPreview.png,0,454
89048,.png,170,87.0,RGB,dist/assets/developer-assets/paperboy/hud.png,0,358
121887,.png,184,119.0,RGB,dist/assets/developer-assets/paperboy/obstacles.png,0,424
79758,.png,112,77.9,RGB,dist/assets/developer-assets/paperboy/palette.png,0,368
94548,.png,164,92.3,RGB,dist/assets/developer-assets/paperboy/pickups.png,0,410
77987,.png,174,76.2,RGB,dist/assets/developer-assets/paperboy/props.png,0,424
107683,.png,124,105.2,RGB,dist/assets/developer-assets/shinobi/badges.png,0,520
180852,.png,154,176.6,RGB,dist/assets/developer-assets/shinobi/borders.png,0,898
118310,.png,222,115.5,RGB,dist/assets/developer-assets/shinobi/boss.png,0,406
219626,.png,416,214.5,RGB,dist/assets/developer-assets/shinobi/gameplayPreview.png,0,452
67236,.png,168,65.7,RGB,dist/assets/developer-assets/shinobi/hud.png,0,358
124140,.png,174,121.2,RGB,dist/assets/developer-assets/shinobi/obstacles.png,0,422
53793,.png,108,52.5,RGB,dist/assets/developer-assets/shinobi/palette.png,0,350
88658,.png,164,86.6,RGB,dist/assets/developer-assets/shinobi/pickups.png,0,406
80226,.png,170,78.3,RGB,dist/assets/developer-assets/shinobi/props.png,0,422
86692,.png,128,84.7,RGB,dist/assets/developer-assets/sonic/badges.png,0,520
177640,.png,150,173.5,RGB,dist/assets/developer-assets/sonic/borders.png,0,902
111912,.png,214,109.3,RGB,dist/assets/developer-assets/sonic/boss.png,0,408
191463,.png,430,187.0,RGB,dist/assets/developer-assets/sonic/gameplayPreview.png,0,456
65229,.png,160,63.7,RGB,dist/assets/developer-assets/sonic/hud.png,0,354
118523,.png,174,115.7,RGB,dist/assets/developer-assets/sonic/obstacles.png,0,424
58508,.png,112,57.1,RGB,dist/assets/developer-assets/sonic/palette.png,0,356
91087,.png,164,89.0,RGB,dist/assets/developer-assets/sonic/pickups.png,0,408
55264,.png,168,54.0,RGB,dist/assets/developer-assets/sonic/props.png,0,424
91090,.png,120,89.0,RGB,dist/assets/developer-assets/streets/badges.png,0,520
207506,.png,156,202.6,RGB,dist/assets/developer-assets/streets/borders.png,0,900
117315,.png,222,114.6,RGB,dist/assets/developer-assets/streets/boss.png,0,406
218657,.png,416,213.5,RGB,dist/assets/developer-assets/streets/gameplayPreview.png,0,450
76310,.png,170,74.5,RGB,dist/assets/developer-assets/streets/hud.png,0,360
100764,.png,174,98.4,RGB,dist/assets/developer-assets/streets/obstacles.png,0,424
25228,.png,104,24.6,RGB,dist/assets/developer-assets/streets/palette.png,0,348
80219,.png,162,78.3,RGB,dist/assets/developer-assets/streets/pickups.png,0,406
63606,.png,170,62.1,RGB,dist/assets/developer-assets/streets/props.png,0,424
282789,.jpg,1536,276.2,RGB,references/screenshots/target_reference_good_map_framing.jpg,0,709
215864,.jpg,1536,210.8,RGB,references/screenshots/v4_bad_zoomed_out_tiny_map.jpg,0,709
3023474,.png,1536,2952.6,RGBA,design_boards/outrun/outrun_board_example.png,0.0,1024
2097046,.png,1536,2047.9,RGB,design_boards/outrun/developper assets.png,0,1024
814764,.png,847,795.7,RGBA,design_boards/outrun/cadre outrun.png,0.0,517
2097046,.png,1536,2047.9,RGB,design_boards/outrun/outrun_board.png,0,1024
823672,.png,859,804.4,RGBA,design_boards/kombat/cadre mortal kombat.png,0.0,523
2286297,.png,1536,2232.7,RGB,design_boards/kombat/kombat_board.png,0,1024
2286297,.png,1536,2232.7,RGB,design_boards/kombat/developper assets.png,0,1024
2137762,.png,1536,2087.7,RGB,design_boards/shinobi/developper assets.png.png,0,1024
715912,.png,805,699.1,RGBA,design_boards/shinobi/cadre shinobi.png,0.0,511
2137762,.png,1536,2087.7,RGB,design_boards/shinobi/shinobi_board.png,0,1024
2208019,.png,1536,2156.3,RGB,design_boards/castle/castle_board.png,0,1024
689499,.png,779,673.3,RGBA,design_boards/castle/cadre castle of illusuion.png,0.0,532
2208019,.png,1536,2156.3,RGB,design_boards/castle/developper assets.png,0,1024
1933630,.png,1536,1888.3,RGB,design_boards/sonic/sonic_board.png,0,1024
1933630,.png,1536,1888.3,RGB,design_boards/sonic/developper assets.png,0,1024
725264,.png,873,708.3,RGBA,design_boards/sonic/cadre sonic 2.png,0.0,529
2438059,.png,1536,2380.9,RGB,design_boards/paperboy/paperboy_board.png,0,1024
2438059,.png,1536,2380.9,RGB,design_boards/paperboy/developper assets.png,0,1024
922568,.png,943,900.9,RGBA,design_boards/paperboy/cadre paperboy.png,0.0,535
2030866,.png,1536,1983.3,RGB,design_boards/streets/streets_board.png,0,1024
711720,.png,819,695.0,RGBA,design_boards/streets/cadre street of rage.png,0.0,531
2030866,.png,1536,1983.3,RGB,design_boards/streets/developper assets.png,0,1024
2874347,.png,1086,2807.0,RGB,"design_boards/minimap/ChatGPT Image 20 mai 2026, 11_57_43.png",0,1448
2131767,.png,1536,2081.8,RGB,design_boards/fighter/developper assets.png,0,1024
777293,.png,839,759.1,RGBA,design_boards/fighter/cadre street fighter.png,0.0,517
2131767,.png,1536,2081.8,RGB,design_boards/fighter/fighter_board.png,0,1024
309571,.jpg,740,302.3,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/review/contact_sheets/runtime_assets_alpha_contact_sheet.jpg,0,1140
66863,.png,256,65.3,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/outrun/pickup_checkpoint.png,33.3,160
56363,.png,160,55.0,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/outrun/obstacle_car.png,15.09,256
76024,.png,165,74.2,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/outrun/boss_turbo_rival.png,37.7,256
127002,.png,256,124.0,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/kombat/boss_dragon_gate.png,25.14,243
89420,.png,256,87.3,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/kombat/pickup_finish_token.png,34.98,239
98109,.png,256,95.8,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/kombat/obstacle_fatal_zone.png,31.19,235
90584,.png,256,88.5,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/shinobi/obstacle_decoy.png,38.38,251
53500,.png,256,52.2,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/shinobi/pickup_shuriken.png,71.09,256
76855,.png,250,75.1,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/shinobi/boss_shadow_ninja.png,40.03,256
121578,.png,256,118.7,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/castle/obstacle_blink_wall.png,12.33,238
92934,.png,256,90.8,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/castle/boss_witch_mirror.png,35.71,179
81324,.png,256,79.4,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/castle/pickup_orb.png,42.38,194
117788,.png,256,115.0,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/sonic/obstacle_bumper.png,21.39,253
127781,.png,249,124.8,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/sonic/boss_loop_serpent.png,27.85,256
55450,.png,256,54.2,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/sonic/pickup_ring.png,52.34,256
69478,.png,170,67.8,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/paperboy/obstacle_dog.png,35.26,256
127862,.png,233,124.9,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/paperboy/boss_neighborhood_chaos.png,27.52,256
78105,.png,191,76.3,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/paperboy/pickup_newspaper.png,48.06,256
104063,.png,256,101.6,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/streets/pickup_street_bonus.png,22.27,250
126176,.png,254,123.2,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/streets/obstacle_crowd.png,32.66,256
90515,.png,256,88.4,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/streets/boss_crime_lord.png,29.95,187
92055,.png,256,89.9,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/fighter/pickup_energy.png,38.75,250
71211,.png,256,69.5,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/fighter/boss_final_challenger.png,54.21,217
81227,.png,256,79.3,RGBA,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/ready_to_copy/public/assets/runtime/universes/fighter/obstacle_charge_marker.png,37.58,236
1254381,.png,1254,1225.0,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/outrun/retro_futuristic_red_sports_car_sprite.png,0,1254
1010756,.png,1254,987.1,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/outrun/retro_pixel_art_sports_car_sprite.png,0,1254
1034261,.png,1254,1010.0,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/outrun/golden_trophy_with_checkered_flag.png,0,1254
1206314,.png,1254,1178.0,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/kombat/golden_trophy_medallion_with_fiery_aura.png,0,1254
1221893,.png,1254,1193.3,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/kombat/lava_portal_with_spiked_rim.png,0,1254
1921809,.png,1254,1876.8,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/kombat/dragon_gate_with_fiery_portal.png,0,1254
1034282,.png,1254,1010.0,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/shinobi/fierce_ninja_in_pixel_art.png,0,1254
1028464,.png,1254,1004.4,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/shinobi/metallic_ninja_shuriken_with_electric_aura.png,0,1254
1152630,.png,1254,1125.6,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/shinobi/stealthy_ninja_in_a_ready_stance.png,0,1254
1231328,.png,1254,1202.5,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/castle/magical_orb_with_glowing_castle.png,0,1254
1290402,.png,1254,1260.2,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/castle/magical_dungeon_wall_with_glowing_gem.png,0,1254
1534644,.png,1254,1498.7,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/castle/haunted_gothic_mirror_with_dark_aura.png,0,1254
1426842,.png,1254,1393.4,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/sonic/mechanical_cobra_head_emblem_in_pixels.png,0,1254
1229722,.png,1254,1200.9,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/sonic/mechanical_bumper_with_starburst_emblem.png,0,1254
908061,.png,1254,886.8,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/sonic/shiny_golden_ring_sprite.png,0,1254
1168275,.png,1254,1140.9,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/paperboy/pixel_art_rolled_up_newspaper_bundle.png,0,1254
1167001,.png,1254,1139.6,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/paperboy/angry_bulldog_game_sprite_in_16_bit.png,0,1254
1737520,.png,1254,1696.8,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/paperboy/angry_bulldog_boss_with_newspapers.png,0,1254
1266246,.png,1254,1236.6,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/streets/boss_gangster_in_pixel_art_style.png,0,1254
1381551,.png,1254,1349.2,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/streets/tough_trio_ready_to_brawl.png,0,1254
1171623,.png,1254,1144.2,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/streets/neon_star_coin_with_glowing_accents.png,0,1254
1239194,.png,1254,1210.2,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/fighter/fiery_martial_artist_in_battle_stance.png,0,1254
1074980,.png,1254,1049.8,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/fighter/fiery_dragon_medallion_emblem.png,0,1254
1137582,.png,1254,1110.9,RGB,tickets/patch_943_final_24_validated_runtime_assets_and_cleanup/source_attempts/reference_only/fighter/glowing_pixel_energy_orb.png,0,1254
264539,.jpg,1536,258.3,RGB,tickets/patch_924_remove_worldmap_outer_frame/references/screenshots/worldmap_frame_to_remove.jpg,0,709
3023474,.png,1536,2952.6,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_single_image_a_large_pixel_art_16_bit_style_u(1).png,0.0,1024
3077060,.png,1536,3004.9,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_detailed_game_ui_asset_sheet_poster_in_a_retro_1.png,0.0,1024
3022641,.png,1536,2951.8,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_detailed_pixel_art_game_ui_asset_sheet_mockup.png,0.0,1024
2887405,.png,1536,2819.7,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_detailed_pixel_art_ui_concept_sheet_game_hud_a.png,0.0,1024
3223261,.png,1536,3147.7,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_detailed_pixel_art_game_ui_asset_sheet_poster.png,0.0,1024
2909616,.png,1536,2841.4,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_high_detail_pixel_art_ui_game_asset_sheet_poster.png,0.0,1024
2797288,.png,1536,2731.7,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_detailed_pixel_art_game_ui_asset_sheet_overall.png,0.0,1024
3046013,.png,1536,2974.6,RGBA,tickets/patch_925_update_variable_developer_asset_layouts/references/screenshots/a_high_resolution_game_ui_sprite_sheet_style_ima.png,0.0,1024
304,.svg,,0.3,,tickets/patch_931_ultimate_internet_assets_ingestion_pack/fallback_lightweight/public/assets/ui/icons/pickup_star.svg,,
391,.svg,,0.4,,tickets/patch_931_ultimate_internet_assets_ingestion_pack/fallback_lightweight/public/assets/ui/icons/obstacle_car.svg,,
352,.svg,,0.3,,tickets/patch_931_ultimate_internet_assets_ingestion_pack/fallback_lightweight/public/assets/ui/icons/boss_challenger.svg,,
